system:index,areaList,batch,.geo
1_1_1_2_0,"[1709283159, 2078783, 583849, 4508966]",Hol_change_dw_2015_2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,"[134022594, 621848, 89177, 4308159]",Hole_change_dw_2016_2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,"[1709283159, 2078783, 583849, 4508966]",Hol_change_dw_2015_2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,"[327642134, 2643509, 332533, 46091652]",Asker_change_dw_2016_2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
