system:index,area,batch,classNumber,kommunenum,navn,.geo
00000000000000000137_0,4.3457949E7,dw2022,1,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_1,9.0421558E7,dw2022,2,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_2,197444.0,dw2022,3,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_3,1.407343E7,dw2022,4,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_4,3946541.0,dw2022,5,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_5,2.61613011E8,dw2022,6,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_6,223378.0,dw2022,7,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_7,4.2670441E7,dw2022,8,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_8,703.0,dw2022,9,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,1.6482468E7,dw2022,1,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_1,2.7195729E7,dw2022,2,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_2,424249.0,dw2022,3,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_3,2846382.0,dw2022,4,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_4,3300589.0,dw2022,5,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_5,8.3277296E7,dw2022,6,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_6,1.7934795E7,dw2022,8,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_7,5695.0,dw2022,9,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,5029116.0,dw2022,1,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_1,1.9222191E7,dw2022,2,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_2,16373.0,dw2022,3,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_3,2880573.0,dw2022,4,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
