system:index,area,batch,classNumber,kommunenum,navn,.geo
00000000000000000150_3,7922710.0,dwChange_2016_2022,4,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_0,9.8448781E7,dwChange_2016_2022,1,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_1,361299.0,dwChange_2016_2022,2,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_2,112055.0,dwChange_2016_2022,3,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_3,2282736.0,dwChange_2016_2022,4,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_0,5.1590991E8,dwChange_2016_2022,1,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_1,1731751.0,dwChange_2016_2022,2,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_2,107003.0,dwChange_2016_2022,3,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_3,4.1404239E7,dwChange_2016_2022,4,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_0,268082.0,dwChange_2016_2022,1,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_1,4092.0,dwChange_2016_2022,4,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_0,6.39778187E8,dwChange_2016_2022,1,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_1,1488244.0,dwChange_2016_2022,2,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_2,33032.0,dwChange_2016_2022,3,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_3,2.0133076E7,dwChange_2016_2022,4,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_0,1.05533222E8,dwChange_2016_2022,1,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_1,1292005.0,dwChange_2016_2022,2,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_2,33494.0,dwChange_2016_2022,3,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_3,8242570.0,dwChange_2016_2022,4,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_0,9.2188468E7,dwChange_2016_2022,1,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_1,1010411.0,dwChange_2016_2022,2,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_2,140732.0,dwChange_2016_2022,3,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_3,1.0363687E7,dwChange_2016_2022,4,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,1.8866353E8,dwChange_2016_2022,1,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_1,1638608.0,dwChange_2016_2022,2,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_2,151110.0,dwChange_2016_2022,3,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_3,2.0963893E7,dwChange_2016_2022,4,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0,7.60007101E8,dwChange_2016_2022,1,3014,Indre Østfold,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_1,3681617.0,dwChange_2016_2022,2,3014,Indre Østfold,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_2,476556.0,dwChange_2016_2022,3,3014,Indre Østfold,"{""type"":""MultiPoint"",""coordinates"":[]}"
