system:index,area,batch,classNumber,kommunenum,navn,.geo
00000000000000000020_0,1.9316844E7,dw2016,1,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_1,2.4979574E7,dw2016,2,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_2,706354.0,dw2016,3,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_3,1.3111852E7,dw2016,4,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_4,4328176.0,dw2016,5,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_5,3.25782148E8,dw2016,6,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_6,6.8263536E7,dw2016,8,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_7,6600.0,dw2016,9,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,7493475.0,dw2016,1,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_1,1.7815483E7,dw2016,2,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_2,463521.0,dw2016,3,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_3,4310320.0,dw2016,4,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_4,1258038.0,dw2016,5,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_5,1.67235685E8,dw2016,6,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_6,202.0,dw2016,7,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_7,3.4005456E7,dw2016,8,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,7258993.0,dw2016,1,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_1,1.3934052E7,dw2016,2,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_2,79891.0,dw2016,3,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_3,8391988.0,dw2016,4,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_4,3154529.0,dw2016,5,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_5,2.42374898E8,dw2016,6,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_6,99.0,dw2016,7,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_7,1.6648002E7,dw2016,8,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,1.0785248E7,dw2016,1,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_1,9.205148E7,dw2016,2,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_2,87905.0,dw2016,3,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_3,9277394.0,dw2016,4,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_4,7007436.0,dw2016,5,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_5,3.05194244E8,dw2016,6,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_6,28035.0,dw2016,7,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_7,1.0439915E7,dw2016,8,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0,4.5255331E7,dw2016,1,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_1,7182228.0,dw2016,2,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_2,156882.0,dw2016,3,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_3,4274583.0,dw2016,4,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_4,519651.0,dw2016,5,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_5,1.31887413E8,dw2016,6,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_6,2201.0,dw2016,7,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_7,2.7442954E7,dw2016,8,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0,6132818.0,dw2016,1,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_1,6728593.0,dw2016,2,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_2,36022.0,dw2016,3,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_3,5233411.0,dw2016,4,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_4,2297068.0,dw2016,5,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_5,1.75604077E8,dw2016,6,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_6,17155.0,dw2016,7,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_7,2.9664137E7,dw2016,8,3053,Jevnaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_0,4806488.0,dw2016,1,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_1,2.5168652E7,dw2016,2,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_2,109454.0,dw2016,3,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_3,8158465.0,dw2016,4,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_4,6071438.0,dw2016,5,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_5,3.27636539E8,dw2016,6,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_6,14588.0,dw2016,7,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_7,4.0933421E7,dw2016,8,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_8,614.0,dw2016,9,3013,Marker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_0,30484.0,dw2016,1,0301,Oslo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_1,1264.0,dw2016,4,0301,Oslo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_2,2302.0,dw2016,5,0301,Oslo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_3,331744.0,dw2016,6,0301,Oslo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_4,158.0,dw2016,7,0301,Oslo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_5,119423.0,dw2016,8,0301,Oslo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_0,3016113.0,dw2016,1,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_1,1230682.0,dw2016,2,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_2,2279.0,dw2016,3,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_3,4272993.0,dw2016,4,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_4,3798939.0,dw2016,5,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_5,2.50739069E8,dw2016,6,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_6,46215.0,dw2016,7,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_7,2.184799E7,dw2016,8,3037,Hurdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_0,9990978.0,dw2016,1,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_1,3.1994446E7,dw2016,2,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_2,230539.0,dw2016,3,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_3,2591925.0,dw2016,4,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_4,771498.0,dw2016,5,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_5,5.9291867E7,dw2016,6,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_6,47195.0,dw2016,7,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_7,5.3920767E7,dw2016,8,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_8,24492.0,dw2016,9,3017,Råde,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0,1.8893199E7,dw2016,1,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_1,1.06823176E8,dw2016,2,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_2,787918.0,dw2016,3,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_3,1.8451702E7,dw2016,4,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_4,1.156904E7,dw2016,5,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_5,4.59866404E8,dw2016,6,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_6,9209.0,dw2016,7,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_7,2.4366012E7,dw2016,8,3034,Nes,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0,6369725.0,dw2016,1,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_1,2796588.0,dw2016,2,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_2,46846.0,dw2016,3,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_3,2062101.0,dw2016,4,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_4,20743.0,dw2016,5,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_5,4.6524044E7,dw2016,6,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_6,75963.0,dw2016,7,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_7,1.3785739E7,dw2016,8,3027,Rælingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_0,6145141.0,dw2016,1,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_1,822674.0,dw2016,2,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_2,2088933.0,dw2016,3,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_3,1399079.0,dw2016,4,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_4,2.0201762E7,dw2016,5,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_5,5.5835476E7,dw2016,6,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_6,21571.0,dw2016,7,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_7,4.31975374E8,dw2016,8,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_8,69437.0,dw2016,9,3011,Hvaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_0,3.6987707E7,dw2016,1,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_1,6.0695979E7,dw2016,2,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_2,198193.0,dw2016,3,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_3,9456555.0,dw2016,4,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_4,2862073.0,dw2016,5,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_5,2.60718916E8,dw2016,6,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_6,88685.0,dw2016,7,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_7,5.6035113E7,dw2016,8,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_8,26931.0,dw2016,9,3003,Sarpsborg,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_0,2474568.0,dw2016,1,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_1,1.2028608E7,dw2016,2,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_2,6298.0,dw2016,3,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_3,3928101.0,dw2016,4,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_4,5293665.0,dw2016,5,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_5,2.62261892E8,dw2016,6,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_6,871.0,dw2016,7,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_7,3.3275621E7,dw2016,8,3012,Aremark,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_0,1.0375921E7,dw2016,1,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_1,2.9401346E7,dw2016,2,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_2,451580.0,dw2016,3,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_3,1.0977315E7,dw2016,4,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_4,3621122.0,dw2016,5,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_5,2.72469586E8,dw2016,6,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_6,4476.0,dw2016,7,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
