navn,kommunenum,year,Bebygd,Avling,Barmark,Gress,Busk,Skog,Vann,Våtmark,Snø og is
Våler,3018,2022,5.812906,26.465806,0.013503,4.515284,4.408203,199.483691,16.237945,0.019137,NA
Ål,3043,2022,11.794682,2.142591,51.951206,78.665421,236.300132,626.21107,84.076846,1.718824,82.117479
Ås,3021,2022,14.460419,31.952801,0.068249,3.695635,0.640113,50.112313,2.753353,0.002613,0.017801
Øvre Eiker,3048,2022,21.037372,37.377616,0.406047,7.445552,6.266011,349.841925,34.368174,0.017254,0.004561
Aremark,3012,2016,2.474568,12.028608,0.006298,3.928101,5.293665,262.261892,33.275621,8.71e-4,NA
Asker,3025,2016,53.265444,23.037864,0.427707,7.22389,2.24601,280.227459,168.383976,0.005176,0.001419
Aurskog-Høland,3026,2016,17.368957,80.891937,0.378979,11.930854,19.500585,937.790104,76.835948,0.103672,NA
Bærum,3024,2016,45.255331,7.182228,0.156882,4.274583,0.519651,131.887413,27.442954,0.002201,NA
Drammen,3005,2016,41.274035,17.548758,0.217037,3.826706,1.853303,242.866262,37.565328,5.08e-4,0.001367
Eidsvoll,3035,2016,19.316844,24.979574,0.706354,13.111852,4.328176,325.782148,68.263536,NA,0.0066
Enebakk,3028,2016,7.493475,17.815483,0.463521,4.31032,1.258038,167.235685,34.005456,2.02e-4,NA
Flesberg,3050,2016,3.679597,3.012791,0.45684,4.585731,25.047546,498.235207,18.075172,1.01e-4,8.824461
Flå,3039,2016,3.334672,1.847495,0.116293,8.525188,94.927636,561.403926,29.711728,0.004357,4.401013
Fredrikstad,3004,2016,50.588182,57.692033,0.950299,5.584543,9.943542,156.06379,277.890409,0.432604,0.007501
Frogn,3022,2016,9.755768,11.636645,0.001367,1.269737,0.889624,61.243864,30.574434,NA,0.002026
Gjerdrum,3032,2016,4.700589,16.460483,1.254353,4.559855,1.465334,54.465998,0.2849,NA,NA
Gol,3041,2016,9.768364,1.444588,0.198424,18.834819,67.854344,417.582858,15.883966,0.329702,0.605027
Halden,3001,2016,24.599016,48.720305,0.280751,6.181321,12.090003,508.438485,61.108444,0.005102,0.009113
Hemsedal,3042,2016,6.583526,1.056309,67.650855,69.953163,214.03742,288.308354,40.542502,0.468313,64.913231
Hol,3044,2016,10.795557,1.24952,24.198419,127.680124,451.547755,736.228761,183.582575,2.976433,316.27406
Hole,3038,2016,6.290201,20.340326,0.163269,1.712928,0.934188,105.740134,57.471735,0.038716,NA
Hurdal,3037,2016,3.016113,1.230682,0.002279,4.272993,3.798939,250.739069,21.84799,0.046215,NA
Hvaler,3011,2016,6.145141,0.822674,2.088933,1.399079,20.201762,55.835476,431.975374,0.021571,0.069437
Indre Østfold,3014,2016,38.786508,184.573168,3.561703,23.432803,9.368555,499.766792,32.207436,0.070227,NA
Jevnaker,3053,2016,6.132818,6.728593,0.036022,5.233411,2.297068,175.604077,29.664137,0.017155,NA
Kongsberg,3006,2016,20.040014,17.915936,0.043901,10.820701,15.68782,699.338817,28.98986,NA,0.252225
Krødsherad,3046,2016,4.746268,3.723797,0.101464,4.730712,11.461901,311.553786,34.01731,0.001998,4.144769
Lier,3049,2016,20.869538,25.744823,0.437791,8.224608,2.770904,226.310313,23.171176,NA,2.02e-4
Lillestrøm,3030,2016,41.45113,88.031105,1.220865,16.004472,3.549327,263.583706,42.609381,0.15447,NA
Lunner,3054,2016,7.258993,13.934052,0.079891,8.391988,3.154529,242.374898,16.648002,9.9e-5,NA
Lørenskog,3029,2016,12.754803,3.465152,0.180041,1.981426,0.04104,50.20443,1.9187,NA,NA
Marker,3013,2016,4.806488,25.168652,0.109454,8.158465,6.071438,327.636539,40.933421,0.014588,6.14e-4
Modum,3047,2016,16.467458,30.467123,0.363824,11.705912,5.02719,403.977237,49.196612,NA,0.027631
Moss,3002,2016,26.721076,28.327192,0.236034,3.113829,0.941195,68.917912,123.74604,0.045615,0.0132
