system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
215,"61.08629, 8.30986",61.08629,8.30986,id_39578177,Hemsedal_change_dw_2016_2020,1,4,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.309860392058512,61.08628970464623]}"
42,"60.98065, 8.39216",60.98065,8.39216,id_39598013,Hemsedal_change_dw_2016_2020,1,3,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.392163708856772,60.98065317971644]}"
502,"60.87672, 8.48715",60.87672,8.48715,id_39841690,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.487152905579903,60.876721299927645]}"
288,"60.95242, 8.32735",60.95242,8.32735,id_4040596,Hemsedal_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.32734623259476,60.952422982981474]}"
415,"60.88587, 8.58815",60.88587,8.58815,id_40469369,Hemsedal_change_dw_2016_2020,2,3,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.588150517594913,60.88586698933088]}"
273,"60.89512, 8.59153",60.89512,8.59153,id_40536795,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.59153261870865,60.895124816596194]}"
97,"60.91133, 8.38943",60.91133,8.38943,id_40967341,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.389427629171111,60.91132874129044]}"
435,"60.84898, 8.62212",60.84898,8.62212,id_41073468,Hemsedal_change_dw_2016_2020,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.622117023414539,60.84897652254787]}"
259,"60.84709, 8.65563",60.84709,8.65563,id_41147740,Hemsedal_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.655628982473944,60.847091320810264]}"
197,"60.91001, 8.43757",60.91001,8.43757,id_41392824,Hemsedal_change_dw_2016_2020,1,6,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.43757469491312,60.910012161668675]}"
280,"60.895, 8.2659",60.895,8.2659,id_41403750,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.265896855747425,60.89499964368476]}"
54,"60.86844, 8.52927",60.86844,8.52927,id_41556653,Hemsedal_change_dw_2016_2020,1,4,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.529268280900853,60.86843569746043]}"
36,"60.89469, 8.07055",60.89469,8.07055,id_41584572,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.070554659226744,60.89469028468576]}"
17,"60.9474, 8.51758",60.9474,8.51758,id_41586829,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.517581063825684,60.94740243537093]}"
518,"60.84486, 8.62805",60.84486,8.62805,id_41937080,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.62805347344743,60.844863097122285]}"
117,"60.87163, 8.54451",60.87163,8.54451,id_42131819,Hemsedal_change_dw_2016_2020,1,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.54450585038144,60.87163053622872]}"
227,"60.85502, 8.42658",60.85502,8.42658,id_42250590,Hemsedal_change_dw_2016_2020,1,6,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.426577776295789,60.855018573202464]}"
122,"60.95148, 8.58398",60.95148,8.58398,id_42382701,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.583979890096135,60.951484369228176]}"
245,"60.90534, 8.50568",60.90534,8.50568,id_42603419,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.505681048482693,60.905341416248454]}"
509,"60.83878, 8.63475",60.83878,8.63475,id_42901054,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.634746797324363,60.83877626047692]}"
454,"60.86228, 8.48996",60.86228,8.48996,id_42973446,Hemsedal_change_dw_2016_2020,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.489961866870765,60.86227696447939]}"
431,"60.87967, 8.48361",60.87967,8.48361,id_43008802,Hemsedal_change_dw_2016_2020,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.483605813378324,60.879670559104376]}"
305,"61.06815, 8.29265",61.06815,8.29265,id_43133544,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.292651914231913,61.06815462463661]}"
418,"60.87991, 8.60628",60.87991,8.60628,id_4330563,Hemsedal_change_dw_2016_2020,2,3,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.606278791524035,60.87990587097019]}"
489,"60.81223, 8.64498",60.81223,8.64498,id_43326861,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.64497502588976,60.81222809530952]}"
472,"60.83714, 8.62575",60.83714,8.62575,id_43398241,Hemsedal_change_dw_2016_2020,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.625751852338727,60.83713544032653]}"
11,"60.93018, 8.2007",60.93018,8.2007,id_43815470,Hemsedal_change_dw_2016_2020,1,6,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.200698488308491,60.93018304353232]}"
430,"60.86152, 8.58239",60.86152,8.58239,id_4391623,Hemsedal_change_dw_2016_2020,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.582388947673264,60.86151830622944]}"
367,"60.89102, 8.44768",60.89102,8.44768,id_43946613,Hemsedal_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.447675070541203,60.891020063120074]}"
372,"60.88678, 8.18041",60.88678,8.18041,id_43950011,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.180411715536492,60.886784695296654]}"
72,"60.84477, 8.66025",60.84477,8.66025,id_4407235,Hemsedal_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.66025386205181,60.84476875512604]}"
180,"60.94709, 8.48251",60.94709,8.48251,id_44132440,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.482514015262732,60.94709276684106]}"
69,"60.8759, 8.50816",60.8759,8.50816,id_44406106,Hemsedal_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.50816222120151,60.87590191665546]}"
327,"60.92368, 8.16508",60.92368,8.16508,id_44614634,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.165076334498481,60.92368199025847]}"
268,"60.86549, 8.34096",60.86549,8.34096,id_44654560,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.340958896070836,60.86549010826001]}"
255,"60.8965, 8.15362",60.8965,8.15362,id_44690918,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.153623063253164,60.89649529658318]}"
144,"60.83385, 8.60648",60.83385,8.60648,id_44805603,Hemsedal_change_dw_2016_2020,1,6,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.606477244629522,60.833848232928275]}"
427,"60.92099, 8.44236",60.92099,8.44236,id_44953436,Hemsedal_change_dw_2016_2020,2,1,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.442361137590337,60.92098552864754]}"
