system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
276,"60.01504, 10.23076",60.01504,10.23076,id_95718888,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.230757674992418,60.01504435233316]}"
227,"60.03313, 10.36425",60.03313,10.36425,id_95963816,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.364249854662125,60.03313118470328]}"
30,"60.09377, 10.25347",60.09377,10.25347,id_96006995,Hole_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.253471568414449,60.093767335443395]}"
10,"60.04671, 10.18543",60.04671,10.18543,id_96075704,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.185430954054263,60.04670985700339]}"
62,"60.01015, 10.28259",60.01015,10.28259,id_96134235,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.282590121076232,60.01015094119766]}"
527,"60.09072, 10.28051",60.09072,10.28051,id_96241353,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.28050547778019,60.09072461184268]}"
414,"59.97338, 10.33223",59.97338,10.33223,id_96287319,Hole_change_dw_2016_2022,2,3,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.332229096225168,59.9733784927875]}"
475,"60.06797, 10.16751",60.06797,10.16751,id_96462932,Hole_change_dw_2016_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.167507987344287,60.067972631101014]}"
13,"59.98409, 10.33893",59.98409,10.33893,id_96491334,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.338932177011596,59.984087289734866]}"
517,"60.06521, 10.29066",60.06521,10.29066,id_96621769,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.290655536840198,60.065211747530334]}"
149,"59.98636, 10.29977",59.98636,10.29977,id_96665856,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.299772095874076,59.98636449808026]}"
184,"60.03646, 10.44014",60.03646,10.44014,id_96951036,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.440139228616909,60.036457089793586]}"
528,"60.04333, 10.26915",60.04333,10.26915,id_97326444,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.269154278064354,60.04332831613085]}"
200,"60.05816, 10.26793",60.05816,10.26793,id_97660598,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.267927449762931,60.05815757588871]}"
328,"60.0267, 10.33438",60.0267,10.33438,id_97812527,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.33437506857323,60.02670086414102]}"
456,"60.11256, 10.24177",60.11256,10.24177,id_9787613,Hole_change_dw_2016_2022,3,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.241771415527067,60.11255642539616]}"
173,"60.05976, 10.18231",60.05976,10.18231,id_97918982,Hole_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.182306429221088,60.05975905135824]}"
422,"60.07676, 10.26684",60.07676,10.26684,id_97921339,Hole_change_dw_2016_2022,2,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.266844205351408,60.07675712014309]}"
482,"60.08879, 10.28528",60.08879,10.28528,id_97964307,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.285284796281362,60.08879241605469]}"
546,"60.07885, 10.28292",60.07885,10.28292,id_98322681,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.282920648756852,60.07884725138082]}"
2,"60.02105, 10.41973",60.02105,10.41973,id_98595647,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.419732147835468,60.02105162822804]}"
101,"60.0146, 10.359",60.0146,10.359,id_98638655,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.3590013563374,60.01459563692663]}"
